id,cpu_per_max,cpu_per_av,cpu_mem_max,cpu_mem_av,gpu_mem_max,gpu_mem_av,gpu_per_max,gpu_per_ave,generation_throughput,prompt_eval_throughput
simple_21,357.37211634903804,296.8847120964419,1041.12890625,994.7935546875,580.078125,559.75078125,18.8,1.1600000000000004,2.72,4.17
simple_22,339.90554899648436,269.4429553220655,1040.5,988.2424172794117,2109.578125,1608.1930147058824,90.3,16.323529411764707,2.68,8.61
simple_23,357.10698141637624,295.6941931463004,1043.78125,996.873046875,580.078125,559.55078125,40.1,2.005,2.72,4.19
simple_24,342.2169811320564,274.5218435205711,1041.17578125,989.1050091911765,2109.578125,1608.4283088235295,98.2,14.605882352941178,2.72,8.68
simple_25,359.1365461847377,302.34160085035444,1041.3671875,995.8376953125,580.078125,559.95078125,33.0,5.24,2.7,4.15
simple_26,359.36873747496566,303.17688980633955,1041.859375,996.960546875,580.078125,560.35078125,8.4,0.42000000000000004,2.71,4.18
simple_27,339.89361702127513,268.7838399999195,1043.03515625,990.19140625,2109.578125,1607.9577205882354,99.7,18.382352941176467,2.74,7.85
simple_28,357.06751054853964,297.6646147747162,1041.6796875,993.8928865131579,580.078125,558.891447368421,26.4,1.5052631578947369,2.74,4.17
simple_29,357.593984962393,298.32209166453333,1041.8046875,996.21953125,580.078125,559.95078125,46.9,2.3449999999999998,2.73,4.12
simple_03,358.99749373432275,301.71714312469607,1041.19921875,994.6996193910256,580.078125,559.4346955128206,50.7,5.102564102564102,2.71,4.13
simple_30,357.0426065162777,296.4709682355016,1043.640625,997.3138671875,580.078125,559.55078125,42.5,2.9349999999999996,2.72,4.12
simple_31,359.0065228298994,300.28626773490146,1041.55078125,994.9442107371794,580.078125,559.6398237179487,24.0,4.076923076923077,2.72,4.12
simple_32,358.3959899749243,301.63271359232465,1043.5703125,998.0494140625,580.078125,560.15078125,24.4,1.22,2.67,4.09
simple_33,357.321965897684,297.0894382122649,1043.9921875,997.6734375,580.078125,559.75078125,44.1,2.205,2.7,4.14
simple_34,358.79396984922,299.80529004973215,1041.40625,994.8056891025641,580.078125,559.2295673076923,22.7,1.276923076923077,2.72,4.12
simple_35,359.14786967420514,303.3121299040355,1042.0625,997.176171875,580.078125,560.15078125,34.1,1.705,2.71,4.14
simple_36,354.68671679196706,293.213526805906,1045.37109375,978.8949318910256,580.078125,550.6642628205128,39.4,4.148717948717948,2.74,4.16
simple_37,355.01113585744235,291.24890326188506,1041.53515625,989.39296875,580.078125,557.0754464285715,33.1,7.422857142857142,2.7,4.11
simple_38,358.01603206411124,300.6747263076618,1041.109375,995.62265625,580.078125,560.15078125,23.2,1.16,2.71,4.14
simple_39,357.5356953992624,298.9370769328769,1041.70703125,993.7732319078947,580.078125,558.891447368421,11.6,0.6105263157894737,2.72,4.15
simple_04,359.4188376753664,301.9328947656542,1041.71875,995.4216746794872,580.078125,559.8449519230769,52.4,5.9743589743589745,2.71,4.13
simple_40,356.9092827004384,298.7868413161419,1040.76171875,993.4348273026316,580.078125,559.1019736842105,25.7,1.5894736842105264,2.71,4.1
simple_41,338.92498523330784,267.78113290205215,1040.609375,987.4080882352941,2109.578125,1607.7224264705883,68.7,13.294117647058824,2.63,7.76
simple_42,357.67810026383853,300.60123713046795,1041.41015625,994.0606496710526,580.078125,559.1019736842105,36.7,4.1,2.73,4.09
simple_43,354.67511885898267,291.7176968445903,1040.3984375,991.8912417763158,580.078125,558.4703947368421,42.9,8.331578947368422,2.73,4.14
simple_44,359.39849624062117,303.748291531813,1043.953125,998.5841796875,580.078125,560.15078125,16.9,0.845,2.71,4.13
simple_45,357.75213246361744,298.3598966789479,1043.375,997.7142578125,580.078125,560.15078125,34.4,1.72,2.67,4.17
simple_46,357.593984962393,298.6117207754663,1041.515625,995.534765625,580.078125,559.95078125,16.3,0.9250000000000002,2.72,4.16
simple_47,356.49774209733545,294.63944346873495,1040.59375,994.109375,580.078125,559.0244391025641,41.7,2.1384615384615384,2.64,4.14
simple_48,340.88495575223436,272.4234013603277,1043.40234375,991.0284926470588,2109.578125,1608.1930147058824,99.7,20.317647058823532,2.7,7.72
simple_49,357.33896515310556,299.07320482912974,1043.28515625,995.51953125,580.078125,559.1019736842105,33.2,5.778947368421053,2.67,4.15
simple_05,341.2389380530827,272.28622401304847,1040.31640625,988.1105238970588,2109.578125,1608.1930147058824,99.7,17.394117647058824,2.72,7.95
simple_50,342.841225626727,276.42552618358087,1041.26953125,973.70078125,2109.578125,1613.2026785714286,99.7,15.645714285714286,2.69,8.65
simple_51,343.42182890853985,277.95815488221024,1041.44921875,990.1633731617648,2109.578125,1608.6636029411766,45.1,7.952941176470589,2.7,8.92
simple_52,356.6482689413219,295.83080433534644,1041.9609375,995.437109375,580.078125,559.55078125,33.7,1.9100000000000001,2.72,4.16
simple_53,357.88683024537977,300.0641088361673,1041.43359375,996.2330078125,580.078125,560.15078125,45.4,2.27,2.66,4.17
simple_54,341.27358490564137,274.5553907927965,1041.2421875,989.6139705882352,2109.578125,1608.4283088235295,78.0,12.629411764705884,2.7,7.64
simple_55,342.1985815602822,275.01638926404445,1041.0,988.7074908088235,2109.578125,1608.1930147058824,94.0,15.45294117647059,2.66,8.58
simple_56,354.77572559365393,292.27972069188684,1041.24609375,992.99609375,580.078125,558.6809210526316,45.8,2.4105263157894736,2.72,4.18
simple_57,359.44862155390433,303.18066038694724,1043.34375,997.1213942307693,580.078125,559.8449519230769,52.1,2.671794871794872,2.73,4.11
simple_58,359.19799498745556,302.9430855621158,1044.1640625,998.5701171875,580.078125,560.35078125,25.9,1.5150000000000001,2.71,4.18
simple_59,335.10540788268094,252.42125231330712,1040.41015625,957.0671164772727,580.078125,542.7556818181819,25.2,2.290909090909091,2.78,4.13
simple_06,341.22858830477855,268.74613492927125,1040.1328125,985.8562973484849,2109.578125,1592.7571022727273,97.8,21.303030303030305,2.72,8.22
simple_60,339.86189579409296,269.5716998567728,1040.984375,985.82763671875,2109.578125,1656.2001953125,48.7,10.5375,2.73,8.56
simple_61,340.50707547171567,272.649484266197,1041.1484375,988.94140625,2109.578125,1608.4283088235295,72.8,14.276470588235298,2.66,7.57
simple_62,354.6990496304023,292.29142546937595,1041.17578125,993.1120476973684,580.078125,558.6809210526316,45.6,7.189473684210526,2.71,4.15
simple_63,357.38396624470795,299.4515829742453,1041.43359375,993.9572368421053,580.078125,559.3125,54.3,2.857894736842105,2.74,4.18
simple_64,349.46236559137964,282.0764463040099,1041.55859375,977.2156808035714,580.078125,551.6104910714286,37.6,2.685714285714286,2.72,4.15
simple_65,348.29202947085724,277.5972954946449,1041.984375,980.115625,580.078125,552.7083333333334,39.5,2.7800000000000002,2.69,4.13
simple_66,356.35997988940204,294.1866052195087,1043.69140625,996.7712890625,580.078125,559.35078125,44.3,2.325,2.71,4.11
simple_67,358.1081081081159,301.24782094443543,1041.734375,996.5216796875,580.078125,560.15078125,30.5,1.525,2.7,4.14
simple_68,335.3803849679239,252.89726533224405,1043.37109375,960.7737926136364,580.078125,543.4829545454545,8.1,1.1909090909090911,2.74,4.11
simple_69,355.2562070787056,293.56155498716504,1041.12890625,992.938322368421,580.078125,558.4703947368421,42.7,7.0210526315789465,2.7,4.14
simple_07,357.75316455694417,299.23654310982363,1041.2890625,993.8034539473684,580.078125,558.891447368421,32.0,1.9210526315789473,2.72,4.19
simple_70,332.2613065326391,248.5749391110049,1043.2109375,951.879296875,580.078125,539.4234375,33.7,3.37,2.85,4.14
simple_71,339.79952830190433,270.5927481798676,1041.33984375,989.0181525735294,2109.578125,1608.1930147058824,51.6,9.11764705882353,2.7,8.2
simple_72,354.99207606972516,293.0454113324049,1040.77734375,992.5758634868421,580.078125,558.4703947368421,17.5,0.9210526315789473,2.71,4.1
simple_73,356.4629258516865,295.565309403747,1041.34765625,995.966015625,580.078125,560.35078125,2.3,0.225,2.72,4.16
simple_74,341.5239220318902,273.93622402118126,1044.234375,991.5636488970588,2109.578125,1608.1930147058824,55.5,12.841176470588236,2.69,9.11
