secs,id,TTFT,TBT,total_time,total_tokens,prompt_tokens
375,complex_16,6712.07,377.62,32862.25,97.0,28.0
376,complex_16,6712.07,377.62,32862.25,97.0,28.0
377,complex_16,6712.07,377.62,32862.25,97.0,28.0
378,complex_16,6712.07,377.62,32862.25,97.0,28.0
379,complex_16,6712.07,377.62,32862.25,97.0,28.0
380,complex_16,6712.07,377.62,32862.25,97.0,28.0
381,complex_16,6712.07,377.62,32862.25,97.0,28.0
382,complex_16,6712.07,377.62,32862.25,97.0,28.0
383,complex_16,6712.07,377.62,32862.25,97.0,28.0
384,complex_16,6712.07,377.62,32862.25,97.0,28.0
385,complex_16,6712.07,377.62,32862.25,97.0,28.0
386,complex_16,6712.07,377.62,32862.25,97.0,28.0
387,complex_16,6712.07,377.62,32862.25,97.0,28.0
388,complex_16,6712.07,377.62,32862.25,97.0,28.0
389,complex_16,6712.07,377.62,32862.25,97.0,28.0
390,complex_16,6712.07,377.62,32862.25,97.0,28.0
391,complex_16,6712.07,377.62,32862.25,97.0,28.0
392,complex_16,6712.07,377.62,32862.25,97.0,28.0
393,complex_16,6712.07,377.62,32862.25,97.0,28.0
394,complex_16,6712.07,377.62,32862.25,97.0,28.0
395,complex_16,6712.07,377.62,32862.25,97.0,28.0
396,complex_16,6712.07,377.62,32862.25,97.0,28.0
397,complex_16,6712.07,377.62,32862.25,97.0,28.0
398,complex_16,6712.07,377.62,32862.25,97.0,28.0
399,complex_16,6712.07,377.62,32862.25,97.0,28.0
400,complex_16,6712.07,377.62,32862.25,97.0,28.0
401,complex_16,6712.07,377.62,32862.25,97.0,28.0
402,complex_16,6712.07,377.62,32862.25,97.0,28.0
403,complex_16,6712.07,377.62,32862.25,97.0,28.0
404,complex_16,6712.07,377.62,32862.25,97.0,28.0
405,complex_16,6712.07,377.62,32862.25,97.0,28.0
406,complex_17,7398.48,369.11,27030.48,84.0,31.0
407,complex_17,7398.48,369.11,27030.48,84.0,31.0
408,complex_17,7398.48,369.11,27030.48,84.0,31.0
409,complex_17,7398.48,369.11,27030.48,84.0,31.0
410,complex_17,7398.48,369.11,27030.48,84.0,31.0
411,complex_17,7398.48,369.11,27030.48,84.0,31.0
412,complex_17,7398.48,369.11,27030.48,84.0,31.0
413,complex_17,7398.48,369.11,27030.48,84.0,31.0
414,complex_17,7398.48,369.11,27030.48,84.0,31.0
415,complex_17,7398.48,369.11,27030.48,84.0,31.0
416,complex_17,7398.48,369.11,27030.48,84.0,31.0
417,complex_17,7398.48,369.11,27030.48,84.0,31.0
418,complex_17,7398.48,369.11,27030.48,84.0,31.0
419,complex_17,7398.48,369.11,27030.48,84.0,31.0
420,complex_17,7398.48,369.11,27030.48,84.0,31.0
421,complex_17,7398.48,369.11,27030.48,84.0,31.0
422,complex_17,7398.48,369.11,27030.48,84.0,31.0
423,complex_17,7398.48,369.11,27030.48,84.0,31.0
424,complex_17,7398.48,369.11,27030.48,84.0,31.0
425,complex_17,7398.48,369.11,27030.48,84.0,31.0
426,complex_17,7398.48,369.11,27030.48,84.0,31.0
427,complex_17,7398.48,369.11,27030.48,84.0,31.0
428,complex_17,7398.48,369.11,27030.48,84.0,31.0
429,complex_17,7398.48,369.11,27030.48,84.0,31.0
430,complex_17,7398.48,369.11,27030.48,84.0,31.0
431,complex_17,7398.48,369.11,27030.48,84.0,31.0
432,complex_17,7398.48,369.11,27030.48,84.0,31.0
433,complex_17,7398.48,369.11,27030.48,84.0,31.0
434,complex_17,7398.48,369.11,27030.48,84.0,31.0
435,complex_17,7398.48,369.11,27030.48,84.0,31.0
436,complex_17,7398.48,369.11,27030.48,84.0,31.0
437,complex_17,7398.48,369.11,27030.48,84.0,31.0
438,complex_17,7398.48,369.11,27030.48,84.0,31.0
439,complex_17,7398.48,369.11,27030.48,84.0,31.0
440,complex_17,7398.48,369.11,27030.48,84.0,31.0
441,complex_17,7398.48,369.11,27030.48,84.0,31.0
442,complex_17,7398.48,369.11,27030.48,84.0,31.0
443,complex_17,7398.48,369.11,27030.48,84.0,31.0
444,complex_17,7398.48,369.11,27030.48,84.0,31.0
445,complex_17,7398.48,369.11,27030.48,84.0,31.0
446,complex_17,7398.48,369.11,27030.48,84.0,31.0
447,complex_17,7398.48,369.11,27030.48,84.0,31.0
448,complex_17,7398.48,369.11,27030.48,84.0,31.0
449,complex_17,7398.48,369.11,27030.48,84.0,31.0
450,complex_17,7398.48,369.11,27030.48,84.0,31.0
451,complex_17,7398.48,369.11,27030.48,84.0,31.0
452,complex_17,7398.48,369.11,27030.48,84.0,31.0
453,complex_17,7398.48,369.11,27030.48,84.0,31.0
454,complex_17,7398.48,369.11,27030.48,84.0,31.0
455,complex_17,7398.48,369.11,27030.48,84.0,31.0
456,complex_17,7398.48,369.11,27030.48,84.0,31.0
457,complex_17,7398.48,369.11,27030.48,84.0,31.0
458,complex_17,7398.48,369.11,27030.48,84.0,31.0
459,complex_17,7398.48,369.11,27030.48,84.0,31.0
460,complex_17,7398.48,369.11,27030.48,84.0,31.0
461,complex_17,7398.48,369.11,27030.48,84.0,31.0
462,complex_17,7398.48,369.11,27030.48,84.0,31.0
463,complex_17,7398.48,369.11,27030.48,84.0,31.0
464,complex_18,6728.41,361.0,14337.42,49.0,28.0
465,complex_18,6728.41,361.0,14337.42,49.0,28.0
466,complex_18,6728.41,361.0,14337.42,49.0,28.0
467,complex_18,6728.41,361.0,14337.42,49.0,28.0
468,complex_18,6728.41,361.0,14337.42,49.0,28.0
469,complex_18,6728.41,361.0,14337.42,49.0,28.0
470,complex_18,6728.41,361.0,14337.42,49.0,28.0
471,complex_18,6728.41,361.0,14337.42,49.0,28.0
472,complex_18,6728.41,361.0,14337.42,49.0,28.0
473,complex_18,6728.41,361.0,14337.42,49.0,28.0
474,complex_18,6728.41,361.0,14337.42,49.0,28.0
475,complex_18,6728.41,361.0,14337.42,49.0,28.0
476,complex_18,6728.41,361.0,14337.42,49.0,28.0
477,complex_18,6728.41,361.0,14337.42,49.0,28.0
478,complex_18,6728.41,361.0,14337.42,49.0,28.0
479,complex_18,6728.41,361.0,14337.42,49.0,28.0
480,complex_18,6728.41,361.0,14337.42,49.0,28.0
481,complex_18,6728.41,361.0,14337.42,49.0,28.0
482,complex_18,6728.41,361.0,14337.42,49.0,28.0
483,complex_18,6728.41,361.0,14337.42,49.0,28.0
484,complex_18,6728.41,361.0,14337.42,49.0,28.0
485,complex_18,6728.41,361.0,14337.42,49.0,28.0
486,complex_18,6728.41,361.0,14337.42,49.0,28.0
487,complex_18,6728.41,361.0,14337.42,49.0,28.0
488,complex_18,6728.41,361.0,14337.42,49.0,28.0
489,complex_18,6728.41,361.0,14337.42,49.0,28.0
490,complex_18,6728.41,361.0,14337.42,49.0,28.0
491,complex_18,6728.41,361.0,14337.42,49.0,28.0
492,complex_18,6728.41,361.0,14337.42,49.0,28.0
493,complex_18,6728.41,361.0,14337.42,49.0,28.0
494,complex_18,6728.41,361.0,14337.42,49.0,28.0
495,complex_18,6728.41,361.0,14337.42,49.0,28.0
496,complex_19,4192.54,374.07,30098.23,105.0,36.0
497,complex_19,4192.54,374.07,30098.23,105.0,36.0
498,complex_19,4192.54,374.07,30098.23,105.0,36.0
499,complex_19,4192.54,374.07,30098.23,105.0,36.0
500,complex_19,4192.54,374.07,30098.23,105.0,36.0
501,complex_19,4192.54,374.07,30098.23,105.0,36.0
502,complex_19,4192.54,374.07,30098.23,105.0,36.0
503,complex_19,4192.54,374.07,30098.23,105.0,36.0
504,complex_19,4192.54,374.07,30098.23,105.0,36.0
505,complex_19,4192.54,374.07,30098.23,105.0,36.0
506,complex_19,4192.54,374.07,30098.23,105.0,36.0
507,complex_19,4192.54,374.07,30098.23,105.0,36.0
508,complex_19,4192.54,374.07,30098.23,105.0,36.0
509,complex_19,4192.54,374.07,30098.23,105.0,36.0
510,complex_19,4192.54,374.07,30098.23,105.0,36.0
511,complex_19,4192.54,374.07,30098.23,105.0,36.0
512,complex_19,4192.54,374.07,30098.23,105.0,36.0
513,complex_19,4192.54,374.07,30098.23,105.0,36.0
514,complex_19,4192.54,374.07,30098.23,105.0,36.0
515,complex_19,4192.54,374.07,30098.23,105.0,36.0
516,complex_19,4192.54,374.07,30098.23,105.0,36.0
517,complex_19,4192.54,374.07,30098.23,105.0,36.0
518,complex_19,4192.54,374.07,30098.23,105.0,36.0
519,complex_19,4192.54,374.07,30098.23,105.0,36.0
520,complex_19,4192.54,374.07,30098.23,105.0,36.0
521,complex_19,4192.54,374.07,30098.23,105.0,36.0
522,complex_19,4192.54,374.07,30098.23,105.0,36.0
523,complex_19,4192.54,374.07,30098.23,105.0,36.0
524,complex_19,4192.54,374.07,30098.23,105.0,36.0
525,complex_19,4192.54,374.07,30098.23,105.0,36.0
526,complex_19,4192.54,374.07,30098.23,105.0,36.0
527,complex_19,4192.54,374.07,30098.23,105.0,36.0
528,complex_19,4192.54,374.07,30098.23,105.0,36.0
529,complex_19,4192.54,374.07,30098.23,105.0,36.0
530,complex_19,4192.54,374.07,30098.23,105.0,36.0
531,complex_19,4192.54,374.07,30098.23,105.0,36.0
532,complex_19,4192.54,374.07,30098.23,105.0,36.0
533,complex_19,4192.54,374.07,30098.23,105.0,36.0
534,complex_19,4192.54,374.07,30098.23,105.0,36.0
535,complex_19,4192.54,374.07,30098.23,105.0,36.0
536,complex_19,4192.54,374.07,30098.23,105.0,36.0
537,complex_19,4192.54,374.07,30098.23,105.0,36.0
538,complex_19,4192.54,374.07,30098.23,105.0,36.0
539,complex_19,4192.54,374.07,30098.23,105.0,36.0
540,complex_19,4192.54,374.07,30098.23,105.0,36.0
541,complex_19,4192.54,374.07,30098.23,105.0,36.0
542,complex_19,4192.54,374.07,30098.23,105.0,36.0
543,complex_19,4192.54,374.07,30098.23,105.0,36.0
544,complex_19,4192.54,374.07,30098.23,105.0,36.0
545,complex_19,4192.54,374.07,30098.23,105.0,36.0
546,complex_19,4192.54,374.07,30098.23,105.0,36.0
547,complex_19,4192.54,374.07,30098.23,105.0,36.0
