secs,id,cpu_per,cpu_mem,gpu_mem,gpu_per,generation_throughput,prompt_eval_throughput
1796,complex_39,339.7260273972518,1043.49609375,580.078125,0.0,2.64,4.13
1797,complex_39,343.39464882943037,1043.49609375,580.078125,0.0,2.64,4.13
1798,complex_39,343.39464882943037,1043.49609375,580.078125,0.0,2.64,4.13
1799,complex_39,346.4506172839496,1043.49609375,580.078125,0.0,2.64,4.13
1800,complex_39,346.4506172839496,1043.49609375,580.078125,0.0,2.64,4.13
1801,complex_39,349.24731182795017,1043.49609375,580.078125,0.0,2.64,4.13
1802,complex_39,349.24731182795017,1043.49609375,580.078125,0.0,2.64,4.13
1803,complex_39,351.33689839572105,1043.49609375,580.078125,0.0,2.64,4.13
1804,complex_39,351.33689839572105,1043.49609375,580.078125,0.0,2.64,4.13
1805,complex_39,353.2581453634077,1043.49609375,580.078125,0.0,2.64,4.13
1806,complex_39,353.2581453634077,1043.49609375,580.078125,0.0,2.64,4.13
1807,complex_39,355.1297169811313,1043.49609375,580.078125,0.0,2.64,4.13
1808,complex_39,355.1297169811313,1043.49609375,580.078125,0.0,2.64,4.13
1809,complex_39,356.57015590200376,1043.49609375,580.078125,8.1,2.64,4.13
1810,complex_39,356.57015590200376,1043.49609375,580.078125,8.1,2.64,4.13
1811,complex_39,357.9113924050626,1043.49609375,580.078125,0.0,2.64,4.13
1812,complex_39,357.9113924050626,1043.49609375,580.078125,0.0,2.64,4.13
1813,complex_39,358.96793587174284,1043.49609375,580.078125,0.0,2.64,4.13
1814,complex_39,358.96793587174284,1043.49609375,580.078125,0.0,2.64,4.13
1815,complex_39,359.7328244274803,1043.49609375,580.078125,0.0,2.64,4.13
1816,complex_39,359.7328244274803,1043.49609375,580.078125,0.0,2.64,4.13
1817,complex_39,360.746812386156,1043.49609375,580.078125,0.0,2.64,4.13
1818,complex_39,360.746812386156,1043.49609375,580.078125,0.0,2.64,4.13
1819,complex_39,361.8466898954698,1043.49609375,580.078125,0.0,2.64,4.13
1820,complex_39,361.8466898954698,1043.49609375,580.078125,0.0,2.64,4.13
1821,complex_39,362.6878130217023,1043.49609375,580.078125,8.1,2.64,4.13
1822,complex_39,362.6878130217023,1043.49609375,580.078125,8.1,2.64,4.13
1823,complex_39,363.4361233480139,1043.49609375,580.078125,0.0,2.64,4.13
1824,complex_39,363.4361233480139,1043.49609375,580.078125,0.0,2.64,4.13
1825,complex_39,364.2912172573184,1043.49609375,580.078125,0.0,2.64,4.13
1826,complex_39,364.2912172573184,1043.49609375,580.078125,0.0,2.64,4.13
1827,complex_04,81.0,169.875,181.53125,31.8,2.66,8.14
1828,complex_04,81.0,169.875,181.53125,31.8,2.66,8.14
1829,complex_04,120.61855670102753,1035.3203125,580.078125,0.0,2.66,8.14
1830,complex_04,120.61855670102753,1035.3203125,580.078125,0.0,2.66,8.14
1831,complex_04,198.29931972788748,1039.6171875,844.078125,89.6,2.66,8.14
1832,complex_04,198.29931972788748,1039.6171875,844.078125,89.6,2.66,8.14
1833,complex_04,233.75634517766179,1040.1328125,844.078125,1.3,2.66,8.14
1834,complex_04,233.75634517766179,1040.1328125,844.078125,1.3,2.66,8.14
1835,complex_04,254.8582995951389,1040.1328125,844.078125,39.5,2.66,8.14
1836,complex_04,254.8582995951389,1040.1328125,844.078125,39.5,2.66,8.14
1837,complex_04,268.90756302521834,1040.390625,844.078125,99.7,2.66,8.14
1838,complex_04,268.90756302521834,1040.390625,844.078125,99.7,2.66,8.14
1839,complex_04,282.014388489216,1040.625,2109.578125,0.0,2.66,8.14
1840,complex_04,282.014388489216,1040.625,2109.578125,0.0,2.66,8.14
1841,complex_04,294.5911949685602,1040.625,2109.578125,0.0,2.66,8.14
1842,complex_04,294.5911949685602,1040.625,2109.578125,0.0,2.66,8.14
1843,complex_04,304.46927374302294,1040.625,2109.578125,0.0,2.66,8.14
1844,complex_04,304.46927374302294,1040.625,2109.578125,0.0,2.66,8.14
1845,complex_04,312.6633165829203,1040.625,2109.578125,0.0,2.66,8.14
1846,complex_04,312.6633165829203,1040.625,2109.578125,0.0,2.66,8.14
1847,complex_04,319.08675799087285,1040.625,2109.578125,0.0,2.66,8.14
1848,complex_04,319.08675799087285,1040.625,2109.578125,0.0,2.66,8.14
1849,complex_04,324.2677824267832,1040.625,2109.578125,0.0,2.66,8.14
1850,complex_04,324.2677824267832,1040.625,2109.578125,0.0,2.66,8.14
1851,complex_04,328.6486486486533,1040.625,2109.578125,0.0,2.66,8.14
1852,complex_04,328.6486486486533,1040.625,2109.578125,0.0,2.66,8.14
1853,complex_04,332.6881720430151,1040.625,2109.578125,0.0,2.66,8.14
1854,complex_04,332.6881720430151,1040.625,2109.578125,0.0,2.66,8.14
1855,complex_04,336.12040133779675,1040.625,2109.578125,0.0,2.66,8.14
1856,complex_04,336.12040133779675,1040.625,2109.578125,0.0,2.66,8.14
1857,complex_04,338.99686520376565,1040.625,2109.578125,0.0,2.66,8.14
1858,complex_04,338.99686520376565,1040.625,2109.578125,0.0,2.66,8.14
1859,complex_04,341.5094339622634,1040.625,2109.578125,0.0,2.66,8.14
1860,complex_04,341.5094339622634,1040.625,2109.578125,0.0,2.66,8.14
1861,complex_04,343.7639198218256,1040.625,2109.578125,0.0,2.66,8.14
1862,complex_04,343.7639198218256,1040.625,2109.578125,0.0,2.66,8.14
1863,complex_04,345.7278481012652,1040.625,2109.578125,0.0,2.66,8.14
1864,complex_04,345.7278481012652,1040.625,2109.578125,0.0,2.66,8.14
1865,complex_04,347.7955911823641,1040.625,2109.578125,0.0,2.66,8.14
1866,complex_04,347.7955911823641,1040.625,2109.578125,0.0,2.66,8.14
1867,complex_04,349.3797709923658,1040.625,2109.578125,0.0,2.66,8.14
1868,complex_04,349.3797709923658,1040.625,2109.578125,0.0,2.66,8.14
1869,complex_04,350.95628415300484,1040.625,2109.578125,0.0,2.66,8.14
1870,complex_04,350.95628415300484,1040.625,2109.578125,0.0,2.66,8.14
1871,complex_04,352.4390243902434,1040.625,2109.578125,0.0,2.66,8.14
1872,complex_04,352.4390243902434,1040.625,2109.578125,0.0,2.66,8.14
1873,complex_04,353.631051752921,1040.625,2109.578125,0.0,2.66,8.14
1874,complex_04,353.631051752921,1040.625,2109.578125,0.0,2.66,8.14
1875,complex_04,354.88782051282,1040.625,2109.578125,0.0,2.66,8.14
1876,complex_04,354.88782051282,1040.625,2109.578125,0.0,2.66,8.14
1877,complex_04,356.00924499229535,1040.625,2109.578125,0.0,2.66,8.14
1878,complex_04,356.00924499229535,1040.625,2109.578125,0.0,2.66,8.14
1879,complex_04,356.936201780415,1040.625,2109.578125,0.0,2.66,8.14
