secs,id,TTFT,TBT,total_time,total_tokens,prompt_tokens
307,contextual_01,21049.66,779.3,59309.06,421.0,372.0
308,contextual_01,21049.66,779.3,59309.06,421.0,372.0
309,contextual_01,21049.66,779.3,59309.06,421.0,372.0
310,contextual_01,21049.66,779.3,59309.06,421.0,372.0
311,contextual_01,21049.66,779.3,59309.06,421.0,372.0
312,contextual_01,21049.66,779.3,59309.06,421.0,372.0
313,contextual_01,21049.66,779.3,59309.06,421.0,372.0
314,contextual_01,21049.66,779.3,59309.06,421.0,372.0
315,contextual_01,21049.66,779.3,59309.06,421.0,372.0
316,contextual_01,21049.66,779.3,59309.06,421.0,372.0
317,contextual_01,21049.66,779.3,59309.06,421.0,372.0
318,contextual_01,21049.66,779.3,59309.06,421.0,372.0
319,contextual_01,21049.66,779.3,59309.06,421.0,372.0
320,contextual_01,21049.66,779.3,59309.06,421.0,372.0
321,contextual_01,21049.66,779.3,59309.06,421.0,372.0
322,contextual_01,21049.66,779.3,59309.06,421.0,372.0
323,contextual_01,21049.66,779.3,59309.06,421.0,372.0
324,contextual_01,21049.66,779.3,59309.06,421.0,372.0
325,contextual_01,21049.66,779.3,59309.06,421.0,372.0
326,contextual_01,21049.66,779.3,59309.06,421.0,372.0
327,contextual_01,21049.66,779.3,59309.06,421.0,372.0
328,contextual_01,21049.66,779.3,59309.06,421.0,372.0
329,contextual_01,21049.66,779.3,59309.06,421.0,372.0
330,contextual_01,21049.66,779.3,59309.06,421.0,372.0
331,contextual_01,21049.66,779.3,59309.06,421.0,372.0
332,contextual_01,21049.66,779.3,59309.06,421.0,372.0
333,contextual_01,21049.66,779.3,59309.06,421.0,372.0
334,contextual_01,21049.66,779.3,59309.06,421.0,372.0
335,contextual_01,21049.66,779.3,59309.06,421.0,372.0
336,contextual_01,21049.66,779.3,59309.06,421.0,372.0
337,contextual_01,21049.66,779.3,59309.06,421.0,372.0
338,contextual_01,21049.66,779.3,59309.06,421.0,372.0
339,contextual_01,21049.66,779.3,59309.06,421.0,372.0
340,contextual_01,21049.66,779.3,59309.06,421.0,372.0
341,contextual_01,21049.66,779.3,59309.06,421.0,372.0
342,contextual_01,21049.66,779.3,59309.06,421.0,372.0
343,contextual_01,21049.66,779.3,59309.06,421.0,372.0
344,contextual_01,21049.66,779.3,59309.06,421.0,372.0
345,contextual_01,21049.66,779.3,59309.06,421.0,372.0
346,contextual_01,21049.66,779.3,59309.06,421.0,372.0
347,contextual_01,21049.66,779.3,59309.06,421.0,372.0
348,contextual_01,21049.66,779.3,59309.06,421.0,372.0
349,contextual_01,21049.66,779.3,59309.06,421.0,372.0
350,contextual_01,21049.66,779.3,59309.06,421.0,372.0
351,contextual_01,21049.66,779.3,59309.06,421.0,372.0
352,contextual_01,21049.66,779.3,59309.06,421.0,372.0
353,contextual_01,21049.66,779.3,59309.06,421.0,372.0
354,contextual_01,21049.66,779.3,59309.06,421.0,372.0
355,contextual_01,21049.66,779.3,59309.06,421.0,372.0
356,contextual_01,21049.66,779.3,59309.06,421.0,372.0
357,contextual_01,21049.66,779.3,59309.06,421.0,372.0
358,contextual_01,21049.66,779.3,59309.06,421.0,372.0
359,contextual_01,21049.66,779.3,59309.06,421.0,372.0
360,contextual_01,21049.66,779.3,59309.06,421.0,372.0
361,contextual_01,21049.66,779.3,59309.06,421.0,372.0
362,contextual_01,21049.66,779.3,59309.06,421.0,372.0
363,contextual_01,21049.66,779.3,59309.06,421.0,372.0
364,contextual_01,21049.66,779.3,59309.06,421.0,372.0
365,contextual_01,21049.66,779.3,59309.06,421.0,372.0
366,contextual_01,21049.66,779.3,59309.06,421.0,372.0
367,contextual_01,21049.66,779.3,59309.06,421.0,372.0
368,contextual_01,21049.66,779.3,59309.06,421.0,372.0
369,contextual_01,21049.66,779.3,59309.06,421.0,372.0
370,contextual_01,21049.66,779.3,59309.06,421.0,372.0
371,contextual_01,21049.66,779.3,59309.06,421.0,372.0
372,contextual_01,21049.66,779.3,59309.06,421.0,372.0
373,contextual_01,21049.66,779.3,59309.06,421.0,372.0
374,contextual_01,21049.66,779.3,59309.06,421.0,372.0
375,contextual_01,21049.66,779.3,59309.06,421.0,372.0
376,contextual_01,21049.66,779.3,59309.06,421.0,372.0
377,contextual_01,21049.66,779.3,59309.06,421.0,372.0
378,contextual_01,21049.66,779.3,59309.06,421.0,372.0
379,contextual_01,21049.66,779.3,59309.06,421.0,372.0
380,contextual_01,21049.66,779.3,59309.06,421.0,372.0
